sequence name	positive 1st pair part	positive 2nd pair part	negative 1st pair part	negative 2nd pair part
SKÄS	KÄS	TOTN	KÄS	TOTS
STIP	TIP	TIA+	TIP	TIA-
STOP	TOP	TOTN	TOP	TOTS
SKAN	KAN	SAM-KAN	KAN	ERI-KAN
STOI	TOI	TOTN	TOI	TOTS
SJSK	KAN		KAN	
SKOR	KOA	TOI	KOA	TOI
